video_id,url,duration_seconds,published_at,tags,title,description,view_count,like_count,comment_count,engagement_rate
9bv0rBDxVrY,https://www.youtube.com/watch?v=9bv0rBDxVrY,55,2024-06-20T09:07:43Z,,Sports You Never Knew Existed 👀,"Compilation of crazy sports within the world of Red Bull, including Red Bull Fierste Ljepper, Red Bull Slopesoakers, Red Bull Yagli Direk, Red Bull Flugtag and Red Bull Stalen Ros",262842436,8236313,9458,0.0314
sA_FtB4Etlg,https://www.youtube.com/watch?v=sA_FtB4Etlg,17,2024-04-25T14:26:12Z,"World Athletics, worldAthletics, IAAF, Athletics, World Championships, track and field",When things don't go to plan 🥹 #athletics #sports #relays #japan,"Subscribe to our channel - https://www.youtube.com/worldathletics

⭐️ Watch exclusive videos on Inside Track - https://worldathletics.org/videos ⭐️

⭐️ Follow us on Twitter - https://twitter.com/WorldAthletics ⭐️

⭐️ Follow us on Facebook - https://www.facebook.com/WorldAthletics/ ⭐️

⭐️ Follow us on Instagram - https://www.instagram.com/worldathletics/ ⭐️

⭐️ Follow us on TikTok - https://www.tiktok.com/@worldathletics/ ⭐️

Make sure you subscribe for athletics highlights, interviews with the athletes, training tips and more!",126760492,4169195,2672,0.0329
k391xWc5K7I,https://www.youtube.com/watch?v=k391xWc5K7I,12,2024-04-02T16:16:50Z,"Olympic Games, Olympic Medal, Olympics, Olympic Sports, Sport, Gold, Silver, Beijing2022, Beijing 2022, Olympic Games 2022, Olympics 2022, токио 2020, Beijing, Winter Olympics, Tokyo 2020, Tokyo 2021, olympic games, olympic games 2022, olympic games 2020, beijing 2022, olympic channel, olympics 2020",Is it just us or are these coaches getting younger and younger? 🤭 🎥: @niadorner,"📲 Want to watch live sport and original documentaries for free? Check out our website: https://oly.ch/WatchLiveSport
_____________________________________________________
🇨🇳 #Beijing2022 replays: https://oly.ch/B22Replays
🇯🇵 #Tokyo2020 replays: https://oly.ch/T20Replays
🗞️ News from the Olympic world: https://oly.ch/News",55660857,1389083,702,0.025
wAZ24Vt7Yuk,https://www.youtube.com/watch?v=wAZ24Vt7Yuk,17,2024-06-13T16:00:47Z,"Olympic Games, Olympic Medal, Olympics, Olympic Sports, Sport, Gold, Silver, Beijing2022, Beijing 2022, Olympic Games 2022, Olympics 2022, токио 2020, Beijing, Winter Olympics, Tokyo 2020, Tokyo 2021, olympic games, olympic games 2022, olympic games 2020, beijing 2022, olympic channel, olympics 2020",little emma conquering the vault. ❤️#Olympics #Gymnastics #ArtisticGymnastics #Sports,"📲 Want to watch live sport and original documentaries for free? Check out our website: https://oly.ch/WatchLiveSport

5 year old training artistic gymnastics
_____________________________________________________
🇨🇳 #Beijing2022 replays: https://oly.ch/B22Replays
🇯🇵 #Tokyo2020 replays: https://oly.ch/T20Replays
🗞️ News from the Olympic world: https://oly.ch/News",115730429,2852870,16672,0.0248
etcJMBZ0L_I,https://www.youtube.com/watch?v=etcJMBZ0L_I,17,2024-04-05T08:01:25Z,,Don’t Dunk Here ❌,Professional Red Bull athlete @TheLethalShooter tests his basketball accuracy against 'The Blender',67311065,1468533,3659,0.0219
8Rx0YvNMwrY,https://www.youtube.com/watch?v=8Rx0YvNMwrY,9,2024-04-28T17:26:01Z,,Was he safe or out? 😱🤔 #shorts,"(Via fivetoolprospects/tt)

#umpire #safeorout #baseball #highschoolsports",5139486,127970,32268,0.0312
sw1zfIApapk,https://www.youtube.com/watch?v=sw1zfIApapk,12,2024-05-17T07:20:32Z,"Olympic Games, Olympic Medal, Olympics, Olympic Sports, Sport, Gold, Silver, Beijing2022, Beijing 2022, Olympic Games 2022, Olympics 2022, токио 2020, Beijing, Winter Olympics, Tokyo 2020, Tokyo 2021, olympic games, olympic games 2022, olympic games 2020, beijing 2022, olympic channel, olympics 2020",Some sick skate skills! 🛹 🔥 @sisa_solymosyova,"Video Credits: @sisa_solymosyova - Make sure to give her a follow!

📲 Want to watch live sport and original documentaries for free? Check out our website: https://oly.ch/WatchLiveSport
_____________________________________________________
🇨🇳 #Beijing2022 replays: https://oly.ch/B22Replays
🇯🇵 #Tokyo2020 replays: https://oly.ch/T20Replays
🗞️ News from the Olympic world: https://oly.ch/News",128384147,1308130,3524,0.0102
NhfRdoRftiM,https://www.youtube.com/watch?v=NhfRdoRftiM,15,2024-04-07T22:56:23Z,"kyrie irving, dillon Brooks, luka doncic, dallas mavericks, Houston rockets, rockets vs mavs, dallas mavericks vs Houston rockets highlights, dallas mavericks highlights, Houston rockets highlights, kyrie irving handles, luka doncic handles",Kyrie showed Brooks NO MERCY!😭,"📌 SHOP OUR MERCH: https://hoh.world
📌 Follow our Instagram: https://www.instagram.com/houseofhighlights
📌 Follow our TikTok: 
https://www.tiktok.com/@houseofhighlights
📌 Follow our Facebook: https://www.facebook.com/houseofhighlights
📌 Follow our Twitter: https://twitter.com/HoHighlights
📌 SUBSCRIBE, LIKE & COMMENT for MORE!

#HouseofHighlights #NBA",9713876,365884,3056,0.038
A9NwucYYzl4,https://www.youtube.com/watch?v=A9NwucYYzl4,11,2024-05-08T18:37:01Z,,Gotta start doing this to get shots over Wemby 💀 (h/t ipanda757/TT) #shorts #basketball #highlights,,8729231,354552,8307,0.0416
8I7A-aJ0Ne8,https://www.youtube.com/watch?v=8I7A-aJ0Ne8,46,2024-04-21T17:50:21Z,"espn, Omar Raja espn",Cross Country Might Be The Hardest Sport!,"Credit: ajah.banks/tt
https://www.tiktok.com/t/ZTLyW3SDs/

Credit: mikeclaynfl/IG
https://www.tiktok.com/t/ZTLy7Fygr/

Credit: cormycakes/tt
https://www.tiktok.com/t/ZTLy7J1Hm/


Check out my TikTok which has a ton of behind the scenes at different sports events: 
https://www.tiktok.com/@omar

Also check out my Instagram for a sneak peak of all my sports content:
www.instagram.com/Omar",19243524,662763,3916,0.0346
