tag,similarity,avg_popularity,similarity_normalized,popularity_normalized_rec,score
hs basketball,0.9145436062082609,6407.983994511918,1.0,0.5897274782927282,0.8358909913170913
basketball,0.9145436062082609,824.5201258745859,1.0,0.0758806787048878,0.630352271481955
basketball maestro drew timme,0.9145436062082609,0.02189004745674251,1.0,2.0145434972104937e-06,0.6000008058173989
asmr,0.0,10866.008843717354,0.0,1.0,0.4
al jazeera,0.0,7543.229721021039,0.0,0.6942042685141452,0.27768170740565806
espn fc,0.0,5910.693063821253,0.0,0.543961738742627,0.2175846954970508
ss food challenge,0.0,5388.098012266789,0.0,0.4958672581407061,0.19834690325628246
red bull,0.0,5361.104955845661,0.0,0.49338308416207594,0.19735323366483037
stokes twins,0.0,5183.040844920288,0.0,0.4769958242687317,0.1907983297074927
abn news,0.0017936284053977625,4651.289137348462,0.0019612278662514814,0.42805865559715633,0.17240019895861342
