video_id,url,duration_seconds,published_at,tags,title,description,view_count,like_count,comment_count,engagement_rate
1af7esCt-Yc,https://www.youtube.com/watch?v=1af7esCt-Yc,16,2024-07-31T22:00:01Z,"World Athletics, worldAthletics, IAAF, Athletics, World Championships, track and field",Perfect pass 😤 #worldathleticschamps #running #sports #usa #relay,"Subscribe to our channel - https://www.youtube.com/worldathletics

⭐️ Watch exclusive videos on Inside Track - https://worldathletics.org/videos ⭐️

⭐️ Follow us on Twitter - https://twitter.com/WorldAthletics ⭐️

⭐️ Follow us on Facebook - https://www.facebook.com/WorldAthletics/ ⭐️

⭐️ Follow us on Instagram - https://www.instagram.com/worldathletics/ ⭐️

⭐️ Follow us on TikTok - https://www.tiktok.com/@worldathletics/ ⭐️

Make sure you subscribe for athletics highlights, interviews with the athletes, training tips and more!",66581842,2358377,15078,0.0356
HJInQGm2GgE,https://www.youtube.com/watch?v=HJInQGm2GgE,48,2024-08-09T22:00:39Z,,What a Race! 🇨🇦 #Paris2024,"📺 Watch all the #Paris2024 action LIVE! ➡️ https://go.olympics.com/watch 

#Olympics #Paris2024 #Olympics2024
_____________________________________________________
Latest #Paris2024 Highlights right here on YouTube: http://oly.ch/Subscribe 
🇨🇳 #Beijing2022 replays: https://oly.ch/B22Replays
🇯🇵 #Tokyo2020 replays: https://oly.ch/T20Replays
🗞️ News from the Olympic world: https://oly.ch/News",4844711,158435,1009,0.0329
kcNKkdyZxL4,https://www.youtube.com/watch?v=kcNKkdyZxL4,14,2024-08-06T19:47:08Z,"Paralympics, olympics, olympic games, disability sports, disability, paralympic games, yt:cc=on",🇮🇹🔥 Undisguisable Happiness!,"The International Paralympic Committee's vision is to make for an inclusive world through Para sport. Our mission is to lead the Paralympic Movement, oversee the delivery of the Paralympic Games and support members to enable Para athletes to achieve sporting excellence.

Stay connected to the Paralympic Movement:
Website ▶ www.paralympic.org
Facebook ▶ Facebook.com/Paralympics
X ▶ X.com/Paralympics
Instagram ▶ Instagram.com/Paralympics
TikTok ▶ TikTok.com/@Paralympics

#Paralympics #ParaAthletics #Athletics #Shorts #Italy 

License Paralympic footage via IMG Video Archive  ▶ http://bit.ly/49m22Bt",6291936,115574,573,0.0185
-HzSN5vQVyk,https://www.youtube.com/watch?v=-HzSN5vQVyk,11,2024-08-17T16:00:00Z,"Paralympics, olympics, olympic games, disability sports, disability, paralympic games, yt:cc=on",When You Notice You Made It 🤩,"The International Paralympic Committee's vision is to make for an inclusive world through Para sport. Our mission is to lead the Paralympic Movement, oversee the delivery of the Paralympic Games and support members to enable Para athletes to achieve sporting excellence.

Stay connected to the Paralympic Movement:
Website ▶ www.paralympic.org
Facebook ▶ Facebook.com/Paralympics
X ▶ X.com/Paralympics
Instagram ▶ Instagram.com/Paralympics
TikTok ▶ TikTok.com/@Paralympics

#Paralympics #ParaAthletics #Athletics #Shorts 

License Paralympic footage via IMG Video Archive  ▶ http://bit.ly/49m22Bt",9717685,331692,1762,0.0343
YIebSpMgqxc,https://www.youtube.com/watch?v=YIebSpMgqxc,10,2024-07-22T23:48:44Z,"espn, sports",Angel Reese in the building (via @WNBA/TT),"#teamusa #olympics #angelreese #wnba

✔️ Subscribe to ESPN+ http://espnplus.com/youtube
✔️ Get the ESPN App: http://www.espn.com/espn/apps/espn
✔️ Subscribe to ESPN on YouTube: http://es.pn/SUBSCRIBEtoYOUTUBE
✔️ Subscribe to NBA on ESPN on YouTube: http://bit.ly/SUBSCRIBEtoNBAonESPN
✔️ Watch ESPN on YouTube TV: http://es.pn/YouTubeTV",677723,14648,1429,0.0237
xUfVnmu1vuA,https://www.youtube.com/watch?v=xUfVnmu1vuA,17,2024-07-14T19:14:36Z,"espn, sports",1000 IQ play 🧠,"#smart #wnba #connecticut #basketball #IQ

✔️ Subscribe to ESPN+ http://espnplus.com/youtube
✔️ Get the ESPN App: http://www.espn.com/espn/apps/espn
✔️ Subscribe to ESPN on YouTube: http://es.pn/SUBSCRIBEtoYOUTUBE
✔️ Subscribe to NBA on ESPN on YouTube: http://bit.ly/SUBSCRIBEtoNBAonESPN
✔️ Watch ESPN on YouTube TV: http://es.pn/YouTubeTV",13436701,371843,2984,0.0279
akZXMDt0juc,https://www.youtube.com/watch?v=akZXMDt0juc,14,2024-07-30T12:54:58Z,"World Athletics, worldAthletics, IAAF, Athletics, World Championships, track and field",Jamaican legends in a 4x100m relay 🔥 #worldathleticschamps #jamaica #sprint #sports #fast,"Subscribe to our channel - https://www.youtube.com/worldathletics

⭐️ Watch exclusive videos on Inside Track - https://worldathletics.org/videos ⭐️

⭐️ Follow us on Twitter - https://twitter.com/WorldAthletics ⭐️

⭐️ Follow us on Facebook - https://www.facebook.com/WorldAthletics/ ⭐️

⭐️ Follow us on Instagram - https://www.instagram.com/worldathletics/ ⭐️

⭐️ Follow us on TikTok - https://www.tiktok.com/@worldathletics/ ⭐️

Make sure you subscribe for athletics highlights, interviews with the athletes, training tips and more!",3101499,105896,717,0.0344
trMIh3wsjDk,https://www.youtube.com/watch?v=trMIh3wsjDk,10,2024-09-30T16:00:58Z,"Olympic Games, Olympic Medal, Olympics, Olympic Sports, Gold, Silver, Beijing2022, Beijing 2022, Olympic Games 2022, Olympics 2022, Winter Olympics, Tokyo 2020, Tokyo 2021, olympic games, olympic games 2022, olympic games 2020, beijing 2022, olympic channel, olympics 2020, Paris 2024, Paris Olympics, Juegos Olimpicos, Jogos Olimpicos, Olympic, Olympic Games 2024, Olympics 2024, Neeraj Chopra, Simone Biles, Sha'Carri Richardson, Noah Lyles, Hanyu, Paris, Mondo Duplantis",Setting up for the ultimate spike! 🏐🔥📹: shinjyo8888 #Olympics #Paris2024 #Sports #Volleyball,"📺 Re-live ALL the incredible #Paris2024 action: ➡️ https://oly.ch/P24Replays

_____________________________________________________
🇫🇷 #Paris2024 replays: https://oly.ch/P24Replays
🇨🇳 #Beijing2022 replays: https://oly.ch/B22Replays
🇯🇵 #Tokyo2020 replays: https://oly.ch/T20Replays
🗞️ News from the Olympic world: https://oly.ch/News",4417495,107818,187,0.0244
7nsSX6C1lAw,https://www.youtube.com/watch?v=7nsSX6C1lAw,16,2024-08-04T08:43:03Z,,Best ever relay exchange #track #athletics #Olympics #Paris2024,,7138059,165613,1415,0.0234
ozGK40L6FWE,https://www.youtube.com/watch?v=ozGK40L6FWE,15,2024-09-16T17:43:16Z,"2024 US Open, 2024 US Open highlights, 2024 US Open tennis, 2024 tennis, Amanda Anisimova, Grand Slam, New York City, Tennis, US Open, US Open 2024, US Open highlights, US Open tennis, US Open tennis championships, Zheng Qinwen, tennis highlights, us open, us open tennis, us open tennis championships",Crazy SPIN 😱,"Zheng Qinwen's crazy back spin on her return in her match against Amanda Anisimova in Round 1 of the 2024 US Open.

Don't miss a moment of the US Open! Subscribe now: https://bit.ly/2Pdr81i

The US Open is the final Grand Slam tournament of the year and takes place at the USTA Billie Jean King National Tennis Centre. The 2024 US Open saw Jannik Sinner and Aryna Sabalenka claim the men’s and women’s singles titles. It was Sinner’s second Grand Slam title and Sabalenka’s third Grand Slam title. The 2025 US Open main draw is scheduled to go ahead between August 25 - September 7. Look out for highlights, extended highlights, full matches, press conferences, on-court interviews, hot shots, compilations and more!

X: https://twitter.com/usopen
Facebook: https://facebook.com/usopentennis
Instagram: https://instagram.com/usopen
Website: https://www.usopen.org
TikTok: https://tiktok.com/@usopen",5786361,91155,303,0.0158
